gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalCharges_per_month,Churn
1,0,0,1,4,1,1,0,0,1,1,0,0,1,87.1,341.45,1,0,0,0,0,0,1,68.28999999999999,1
0,0,0,0,2,1,0,0,0,0,0,0,1,1,82.09805103676119,170.24795989968763,1,0,0,0,0,1,0,56.74931996656255,1
0,1,0,0,57,1,1,0,1,0,1,1,1,1,104.9,5913.95,1,0,0,0,0,0,0,101.96465517241379,0
1,0,1,0,21,1,0,0,0,0,0,0,0,1,72.47867161630678,1561.869887064748,1,0,0,0,0,0,0,69.98871509539234,1
1,0,0,0,54,1,1,0,1,1,0,1,0,1,94.75,5121.75,1,0,1,0,0,0,0,93.12272727272727,0
0,0,0,0,2,1,0,0,1,0,0,0,0,0,78.694183612676,165.08046531098591,1,0,0,0,0,0,0,55.02682177032864,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.95,20.95,0,1,0,0,0,0,1,10.475,1
0,0,0,0,6,1,0,0,0,0,0,1,0,1,90.5607911664025,455.6235253001585,1,0,0,0,0,1,0,65.08907504287978,1
0,0,0,0,1,1,1,0,1,0,0,0,0,1,79.15,79.15,1,0,0,0,0,1,0,39.575,1
0,0,0,0,15,1,1,1,0,0,0,1,0,1,87.75,1242.2,1,0,0,0,0,0,0,77.6375,0
1,0,0,0,3,0,0,0,0,0,0,0,0,1,50.63040292018247,155.3452706568605,0,0,0,0,0,0,0,38.83631766421512,1
1,0,1,0,34,1,0,0,0,0,1,0,0,0,50.2,1815.3,0,0,0,0,0,0,0,51.86571428571428,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,50.473268211354615,50.473268211354615,0,0,0,0,0,0,1,25.236634105677307,1
1,0,0,0,19,0,0,0,0,0,0,1,1,1,44.85,893.55,0,0,1,0,1,0,0,44.677499999999995,1
0,0,1,1,7,1,0,0,0,0,0,0,0,1,69.95,529.5,1,0,0,0,0,0,0,66.1875,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.760370043021563,24.760370043021563,0,0,0,0,0,0,0,12.380185021510782,1
0,0,0,0,49,1,1,0,0,0,0,0,0,1,74.6,3720.35,1,0,0,0,0,0,0,74.407,0
0,0,0,0,67,1,1,1,1,1,1,1,1,0,115.05987318798486,7791.064311608515,1,0,0,1,0,0,0,113.94858693156269,1
1,0,0,0,1,0,0,0,0,0,1,0,0,0,30.55,30.55,0,0,0,0,0,0,1,15.275,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,85.42928455924982,831.5499191593715,1,0,0,0,0,0,0,75.59544719630651,1
0,1,0,0,62,1,1,0,1,1,1,1,1,1,110.75,7053.35,1,0,1,0,0,0,0,111.95793650793651,0
0,0,0,0,13,1,1,1,0,0,0,1,1,0,98.15,1230.25,1,0,0,0,0,0,1,87.875,1
0,0,1,0,44,1,1,0,0,0,0,0,0,1,95.61331024567824,4132.467042815971,1,0,0,0,0,0,0,92.27596579437703,1
1,0,1,1,61,1,0,0,0,1,1,1,1,1,73.8,4616.05,0,0,0,1,0,0,0,74.45241935483871,0
0,0,0,1,50,0,0,1,1,0,0,1,0,1,43.05,2208.05,0,0,1,0,0,0,0,43.29509803921569,0
1,0,1,0,58,1,1,1,1,0,1,1,1,1,109.1,6393.65,1,0,0,1,1,0,0,108.36694915254236,0
0,0,1,1,1,1,0,0,0,0,0,1,1,0,89.15,89.15,1,0,0,0,0,0,1,44.575,1
0,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,0,0,0,0,0,0,100.726,1
0,0,1,1,4,1,0,0,0,0,0,0,0,0,60.83283904481611,230.13222731621124,0,0,0,0,0,0,0,46.02644546324225,1
0,0,1,1,10,0,0,1,1,1,1,0,1,0,53.7,521.0,0,0,0,1,1,0,0,47.36363636363637,0
0,0,0,0,21,1,1,0,1,0,0,0,0,1,81.82333176799169,1855.0193715270818,1,0,0,0,0,1,0,81.7725872411441,1
0,0,0,0,50,1,0,1,1,0,1,0,1,1,93.5,4747.5,1,0,0,0,1,0,0,93.08823529411765,0
1,0,1,1,40,1,0,1,1,0,1,0,1,1,71.35,2847.2,0,0,0,0,0,0,1,69.44390243902438,0
0,0,1,1,25,1,0,0,0,0,0,0,0,0,19.9,505.45,0,1,1,0,0,1,0,19.440384615384616,0
1,0,1,0,26,1,1,1,1,1,1,1,1,1,90.1,2312.55,0,0,1,0,1,0,0,85.65,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,69.63280553704807,69.63280553704807,1,0,0,0,0,1,0,34.816402768524036,1
0,0,0,0,10,1,1,0,0,0,0,0,0,1,75.98209761285196,824.3949509523443,1,0,0,0,0,0,0,69.75681372160287,1
0,1,0,0,72,1,1,0,0,0,0,0,0,0,25.4,1809.35,0,1,0,1,0,0,0,24.785616438356165,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,36.09789892364907,36.09789892364907,0,0,0,0,0,1,0,18.048949461824535,1
1,0,0,0,60,1,0,0,0,0,0,0,0,0,19.85,1128.1,0,1,0,1,0,0,0,18.49344262295082,0
0,0,0,0,23,1,1,0,0,1,0,0,0,1,81.0,1917.1,1,0,0,0,0,1,0,79.87916666666666,1
1,0,1,0,56,1,1,0,0,0,0,1,0,1,85.6,4902.8,1,0,0,0,0,0,0,86.01403508771931,0
1,0,0,0,25,1,0,0,0,0,0,0,0,0,19.05,461.3,0,1,0,0,0,0,1,17.742307692307694,0
0,1,1,0,29,1,1,0,0,0,0,0,1,0,94.10921079817267,2653.9274731752585,1,0,0,0,0,1,0,88.1639099288316,1
1,0,1,0,29,1,0,0,0,0,0,0,0,0,19.85,573.05,0,1,0,0,0,0,1,19.101666666666667,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,50.75846048749477,50.75846048749477,0,0,0,0,0,1,0,25.379230243747386,1
0,0,0,0,20,1,1,0,0,0,1,1,0,0,80.33491680368913,1628.7363419624658,0,0,0,0,0,0,0,77.10754178211477,1
0,0,1,1,72,1,1,1,1,1,1,1,0,1,80.85,5727.45,0,0,0,1,0,0,0,78.45821917808219,0
1,0,0,0,1,1,0,0,1,0,0,0,0,1,74.7,74.7,1,0,0,0,0,1,0,37.35,1
1,0,0,0,8,1,0,0,0,0,0,0,0,0,20.25,174.65,0,1,0,1,0,0,1,19.405555555555555,0
0,0,0,0,40,1,1,0,1,1,0,1,1,1,102.65,4108.15,1,0,0,0,0,0,1,100.19878048780487,0
0,0,0,0,23,1,1,0,0,1,1,1,0,1,96.9,2085.45,1,0,0,0,1,0,0,86.89375,0
0,0,1,0,72,1,1,1,1,1,1,1,1,1,87.1,6230.1,0,0,0,1,0,0,0,85.34383561643835,0
0,0,0,0,45,0,0,0,0,0,0,0,0,0,26.843310009348283,1089.2821089590905,0,0,0,0,0,0,0,25.490928548267995,1
0,0,1,0,71,1,0,0,0,0,0,0,0,0,20.85,1539.75,0,1,1,0,0,1,0,21.385416666666668,0
1,0,1,0,71,1,1,0,1,1,1,1,1,0,109.25,7707.7,1,0,0,1,0,1,0,107.05138888888888,0
0,0,0,0,42,1,0,0,0,0,0,0,0,1,19.55,839.4,0,1,1,0,0,0,1,19.52093023255814,0
0,0,1,1,8,1,0,0,0,1,0,1,1,1,94.75,759.55,1,0,0,0,0,1,0,84.39444444444445,0
1,0,0,0,39,1,1,0,1,1,0,0,0,1,102.09435457500398,3992.5855232784984,1,0,0,0,0,0,0,98.58609215326202,1
1,0,0,0,13,0,0,0,0,0,0,0,1,1,35.1,446.1,0,0,0,0,0,1,0,31.864285714285717,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,70.3,70.3,1,0,0,0,0,1,0,35.15,1
1,0,1,1,66,1,1,1,1,1,0,1,1,0,109.25,7082.5,1,0,0,1,0,0,0,105.7089552238806,0
0,0,0,0,13,1,0,0,0,0,0,0,1,1,90.14760362696792,1204.135004571566,1,0,0,0,0,0,0,83.62410728814648,1
0,0,0,0,68,1,0,0,1,1,0,0,0,0,79.6,5461.45,1,0,1,0,1,0,0,79.15144927536231,0
0,0,1,0,43,1,0,0,0,0,1,1,1,0,92.69188803315636,4060.9509684104037,0,0,1,0,0,0,0,91.23717681633454,1
0,0,0,0,53,1,1,0,0,0,0,0,0,0,24.05,1301.9,0,1,1,0,0,0,0,24.10925925925926,0
1,0,0,0,1,1,0,0,0,0,0,0,1,1,79.7,79.7,1,0,0,0,0,1,0,39.85,1
0,0,0,0,3,1,0,0,0,0,0,1,0,1,79.14996415181936,243.92767421636702,1,0,0,0,0,1,0,60.981918554091756,1
0,0,0,0,6,1,0,0,0,0,0,1,0,1,89.346215839226,456.3522704964644,1,0,0,0,0,1,0,65.19318149949491,1
0,0,0,0,11,1,0,0,1,0,0,1,0,1,61.25,729.95,0,0,1,0,0,1,0,60.82916666666667,0
0,0,0,0,4,1,1,0,1,0,0,0,0,0,78.45,330.05,1,0,0,0,0,1,0,66.01,1
0,0,1,1,56,1,0,0,1,1,1,0,0,1,85.85,4793.8,1,0,1,0,0,0,1,84.10175438596491,0
0,0,1,1,20,1,0,0,0,0,0,0,0,1,70.45,1470.95,1,0,0,0,0,1,0,70.04523809523809,1
1,0,1,1,6,1,0,0,0,0,0,1,0,0,54.85,355.1,0,0,0,0,0,1,0,50.728571428571435,0
0,1,1,0,44,0,0,0,1,0,0,0,0,1,30.35,1359.7,0,0,0,0,0,1,0,30.215555555555557,1
1,0,1,1,47,1,0,0,0,0,0,0,0,1,21.3,1041.8,0,1,0,1,0,0,0,21.704166666666666,0
0,0,1,1,47,1,0,1,1,1,0,0,1,1,96.1,4391.45,1,0,1,0,0,1,0,91.48854166666666,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,69.56834154425047,69.56834154425047,1,0,0,0,0,1,0,34.784170772125236,1
0,0,0,0,13,1,0,0,0,0,0,0,0,1,69.8939317487119,895.514222084931,0,0,0,0,0,0,0,61.56304296276005,1
1,0,0,0,12,1,1,0,1,0,0,0,1,1,89.15,1057.55,1,0,0,0,0,1,0,81.35,0
1,0,1,1,5,1,0,0,1,0,1,1,1,1,99.15,465.05,1,0,0,0,0,0,1,77.50833333333334,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,71.58380626094366,71.58380626094366,1,0,0,0,0,0,0,35.79190313047183,1
0,0,1,0,61,1,1,0,1,1,0,1,1,0,80.9,4932.5,0,0,0,1,0,0,0,79.55645161290323,0
0,0,0,0,53,0,0,0,1,0,0,1,1,0,56.77857910756553,3018.4321313386517,0,0,0,0,0,1,0,55.498735761860615,1
0,0,0,0,10,1,1,0,0,0,0,0,0,0,75.05,786.3,1,0,0,0,0,1,0,71.48181818181818,0
1,0,0,0,12,1,0,0,1,0,1,0,0,1,54.3,654.5,0,0,0,0,0,1,0,50.34615384615385,0
0,0,0,0,15,1,0,0,0,1,1,1,1,1,101.35,1553.95,1,0,0,0,0,1,0,97.121875,1
0,0,0,0,69,1,1,0,1,1,1,1,1,0,112.97221564184409,7918.333511948308,1,0,0,0,0,0,0,112.65233651638879,1
1,0,0,0,60,1,0,0,1,1,0,1,1,1,99.65,5941.05,1,0,0,1,0,1,0,97.39426229508197,0
1,0,0,0,46,1,0,0,0,1,1,0,0,0,54.35,2460.15,0,0,0,1,1,0,0,52.3436170212766,1
1,1,0,0,2,1,0,0,0,0,0,0,0,1,44.3,89.3,0,0,0,0,0,1,0,29.766666666666666,0
0,1,0,0,11,1,0,0,0,0,0,0,1,1,79.15,827.7,1,0,0,0,1,0,0,68.97500000000001,0
0,0,0,0,13,1,0,0,0,0,0,0,0,0,19.3,259.65,0,1,1,0,1,0,0,18.54642857142857,0
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.59511349390678,136.94705987408437,1,0,0,0,0,0,0,45.64901995802812,1
1,0,1,0,51,0,0,0,1,0,0,1,1,1,49.65,2553.35,0,0,0,0,0,1,0,49.10288461538461,0
0,0,1,0,27,1,1,1,0,0,1,1,1,0,80.85,2204.35,0,0,1,0,0,0,1,78.72678571428571,0
1,0,0,1,43,1,0,1,1,0,1,1,1,1,106.0,4532.3,1,0,1,0,1,0,0,103.00681818181819,0
0,0,1,0,5,1,1,1,0,0,0,0,1,1,89.15,413.25,1,0,0,0,0,1,0,68.875,0
1,0,0,1,9,1,0,1,0,1,1,0,1,0,93.0,870.25,1,0,0,0,0,0,0,87.025,0
0,0,1,0,12,1,1,0,0,0,0,0,0,1,74.7840496922734,896.759443844892,1,0,0,0,0,0,0,64.72648285269916,1
0,0,0,0,24,1,1,0,0,0,0,0,0,0,24.6,592.65,0,1,1,0,0,1,0,23.706,0
1,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,1,0,0,0,0,1,0,84.67727272727274,0
1,0,1,0,15,1,1,0,0,0,0,0,0,1,51.1,711.15,0,0,0,0,0,1,0,44.446875,0
0,0,0,0,19,1,0,0,0,0,0,0,0,1,76.70276775338851,1471.482150447097,1,0,0,0,0,1,0,72.40150841567979,1
0,0,1,0,38,1,1,0,0,1,0,0,0,1,93.44733274726666,3620.1284295291666,1,0,0,0,0,1,0,91.82924147866544,1
0,0,0,0,5,1,1,0,0,1,0,1,0,1,92.5,452.7,1,0,0,0,0,1,0,75.45,1
0,0,0,0,11,1,1,0,0,0,0,1,1,1,97.55580973327675,1147.4040375182333,1,0,0,0,0,1,0,90.11993908296743,1
1,0,1,0,72,1,1,1,1,1,1,1,1,0,115.15,8349.7,1,0,0,1,0,1,0,114.37945205479453,0
0,0,0,0,51,1,0,1,0,0,0,1,0,0,86.35,4267.15,1,0,1,0,0,0,1,82.06057692307692,0
0,0,1,0,69,1,1,0,1,1,1,1,1,1,109.54966068111203,7668.322550588551,1,0,0,0,0,0,0,108.3131852648909,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.8,20.8,0,1,0,0,0,0,1,10.4,0
0,0,1,1,67,1,0,1,1,1,0,1,1,0,81.35,5398.6,0,0,0,1,1,0,0,79.39117647058823,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,45.7,45.7,0,0,0,0,0,0,1,22.85,1
0,0,0,0,50,1,0,0,1,1,1,1,1,0,109.68634927170132,5431.385783833253,1,0,0,0,0,0,0,105.63227071220273,1
0,0,1,1,9,0,0,0,1,0,0,0,0,1,29.95,248.95,0,0,0,0,0,1,0,24.895,1
1,0,1,0,72,1,1,0,0,0,0,0,0,0,24.55,1750.7,0,1,0,1,0,1,0,23.982191780821918,0
1,0,1,1,71,1,0,0,0,0,0,0,0,0,19.9,1389.35,0,1,0,1,0,0,0,19.296527777777776,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,46.0,46.0,0,0,0,0,0,1,0,23.0,1
1,0,0,0,13,0,0,0,0,1,1,0,0,0,35.4,450.4,0,0,0,1,0,0,1,32.17142857142857,0
0,0,0,0,34,1,1,0,0,0,0,1,0,0,87.11395236966536,3028.232796904927,1,0,0,0,0,1,0,85.06466961366885,1
1,0,1,1,59,1,1,0,1,0,1,0,1,1,96.65,5580.8,1,0,0,0,0,0,0,93.01333333333334,0
0,0,0,0,10,1,1,0,0,0,0,0,0,1,84.30427459425466,833.110755603411,1,0,0,0,0,0,0,75.73734141849191,1
0,0,0,0,65,1,1,0,1,1,0,1,1,0,105.1,6631.85,1,0,0,1,1,0,0,100.48257575757576,0
1,0,0,0,33,1,1,1,0,0,0,0,1,1,90.65,2989.6,1,0,0,0,0,1,0,87.92941176470588,0
0,1,1,0,7,0,0,1,0,0,0,0,0,0,29.8,220.45,0,0,0,0,0,0,0,27.55625,0
1,0,0,0,34,1,1,1,1,0,1,0,0,1,64.4,2088.75,0,0,1,0,0,0,1,59.67857142857143,1
1,0,1,1,72,1,1,1,1,1,1,1,1,1,115.8,8476.5,1,0,0,1,0,0,0,116.11643835616438,0
1,0,0,0,37,1,1,0,0,0,0,0,0,1,77.4190312230897,2840.727348398567,1,0,0,0,0,0,0,74.75598285259386,1
0,0,1,1,50,1,0,0,0,0,0,0,0,1,44.8,2230.85,0,0,1,0,0,0,0,43.7421568627451,0
0,0,0,0,31,1,1,0,1,0,1,1,0,1,71.05,2168.15,0,0,0,0,0,1,0,67.7546875,0
0,0,1,0,43,1,0,1,1,1,0,0,0,1,86.1,3551.65,1,0,0,0,1,0,0,80.71931818181818,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,20.55,96.1,0,1,0,0,1,0,0,16.016666666666666,0
0,0,1,0,18,1,1,0,1,0,0,0,0,0,56.8,1074.65,0,0,0,0,1,0,0,56.56052631578948,0
1,1,0,0,42,1,1,0,0,1,0,0,0,0,55.65,2421.75,0,0,0,0,0,1,0,56.31976744186046,0
1,0,0,0,2,1,0,0,0,0,0,0,0,1,79.46522902618064,147.19655393267837,1,0,0,0,0,1,0,49.06551797755945,1
0,1,1,0,18,1,0,0,0,0,0,0,1,0,78.55,1422.65,1,0,0,0,0,1,0,74.8763157894737,1
0,0,1,0,38,0,0,1,1,0,1,1,1,1,60.0,2193.2,0,0,0,1,0,0,0,56.23589743589743,0
0,0,0,0,4,1,0,1,1,0,1,0,1,1,94.9,360.55,1,0,0,0,0,0,1,72.11,0
0,0,0,0,27,1,0,0,0,0,0,0,1,1,82.78150740456769,2229.2224929475346,1,0,0,0,0,1,0,79.16917269718961,1
1,0,0,0,36,1,0,1,0,0,1,1,0,1,99.12222082973219,3664.3443994395107,1,0,0,0,0,0,0,98.9321638402538,1
0,0,0,0,19,1,0,0,0,0,0,0,0,1,20.187397777896077,377.7939473708653,0,1,0,0,0,0,0,18.77055541063464,1
1,0,0,0,7,1,1,1,0,0,0,0,0,1,79.65,604.7,1,0,0,0,0,0,1,75.5875,1
1,0,1,1,14,1,0,1,1,0,1,0,0,0,59.45,780.85,0,0,0,0,0,0,0,52.056666666666665,0
0,0,1,1,9,0,0,0,0,0,0,0,0,0,26.343693512258945,243.87811690308564,0,0,0,0,0,0,0,22.612779276795553,1
0,1,0,0,2,1,0,0,0,0,0,0,0,1,44.15,92.65,0,0,0,0,0,1,0,30.883333333333336,1
1,1,0,0,45,1,1,1,0,0,1,0,1,1,70.05,3062.45,0,0,0,0,0,1,0,66.575,0
0,0,0,0,9,1,0,0,0,0,0,0,1,1,77.95285183592004,708.6788187045588,0,0,0,0,0,1,0,70.86788187045588,1
1,0,1,1,4,1,0,0,0,0,0,0,1,0,80.85,302.75,1,0,0,0,0,1,0,60.55,1
1,0,0,0,13,1,1,0,0,1,0,0,0,1,80.56276993508389,1071.622220717469,1,0,0,0,0,1,0,71.58359834935484,1
0,0,0,0,24,1,1,0,1,0,0,1,0,1,90.29813739594871,2283.9116322031523,1,0,0,0,0,0,0,90.80159259735466,1
0,1,0,0,39,1,1,0,1,0,0,0,1,0,90.7,3413.25,1,0,0,0,0,1,0,85.33125,0
0,0,1,0,72,1,1,0,1,1,1,1,1,1,85.15,6316.2,0,0,0,1,0,0,0,86.52328767123288,0
0,0,1,1,7,1,0,0,0,0,0,0,0,0,44.75,333.65,0,0,0,0,0,1,0,41.70625,0
1,0,0,0,15,1,0,0,1,0,0,1,0,1,83.2,1130.0,1,0,0,0,0,0,0,70.625,0
1,0,0,0,12,1,1,0,0,0,1,1,1,0,74.05,872.65,0,0,1,0,0,0,1,67.12692307692308,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.05,20.05,0,1,0,0,0,0,0,10.025,1
0,0,1,1,37,1,1,1,0,1,1,0,0,1,62.8,2278.75,0,0,0,1,1,0,0,59.9671052631579,0
1,0,1,0,72,1,1,1,1,1,1,0,0,1,94.25,6849.75,1,0,0,1,0,0,0,93.83219178082192,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,30.173216005097174,77.3923796646298,0,0,0,0,0,0,0,25.797459888209932,1
1,0,1,1,22,0,0,0,1,0,0,1,0,0,39.2,849.9,0,0,0,0,0,1,0,36.952173913043474,0
0,0,0,0,2,1,0,0,0,0,0,0,0,1,76.5707657358559,190.50614860378386,1,0,0,0,0,1,0,63.50204953459462,1
0,0,1,0,38,1,0,1,1,0,0,0,0,1,79.45,3013.05,1,0,0,0,0,1,0,77.25769230769231,1
0,0,0,0,20,1,1,0,0,0,1,1,1,1,98.55,2031.95,1,0,0,0,0,0,1,96.75952380952381,0
1,0,0,0,15,1,0,0,1,1,0,1,1,1,101.25,1457.25,1,0,0,0,0,1,0,91.078125,1
0,0,0,0,4,1,0,0,0,0,0,0,0,0,79.07406566943241,306.41646728685413,1,0,0,0,0,0,0,61.28329345737083,1
0,0,0,0,7,1,1,0,0,0,0,0,0,1,85.81201264503902,628.0562545229936,1,0,0,0,1,0,0,71.07820562226001,1
1,0,1,0,53,1,1,1,1,1,0,0,1,0,74.1,3833.95,0,0,1,0,0,0,0,70.99907407407407,0
1,0,1,0,40,0,0,0,0,0,0,0,0,0,53.26417577527937,2193.353788944621,0,0,0,0,0,1,0,53.04074921441437,1
0,0,1,1,59,1,0,0,0,0,0,0,0,0,19.85,1188.25,0,1,0,1,0,0,1,19.804166666666667,0
0,0,0,0,10,1,1,0,0,0,0,0,0,1,75.06656616741317,825.5526064164114,1,0,0,0,0,0,0,68.91545568527991,1
0,0,1,0,56,1,1,0,1,1,0,0,0,0,59.5,3389.25,0,0,0,1,1,0,0,59.46052631578947,0
0,0,1,0,10,1,0,0,0,0,0,0,0,1,82.91067290786604,856.9569596866677,1,0,0,0,0,1,0,77.90517815333344,1
1,0,0,0,1,1,1,0,0,0,0,1,1,0,99.84085288229586,99.84085288229586,1,0,0,0,0,0,0,49.92042644114793,1
1,0,0,0,5,1,0,1,0,0,1,0,0,0,53.85,259.8,0,0,0,0,1,0,0,43.300000000000004,1
1,0,1,0,3,1,1,0,0,0,0,1,1,1,95.2,292.85,1,0,0,0,0,1,0,73.2125,1
1,0,0,0,8,1,1,0,0,0,0,0,0,1,73.5,632.2,1,0,0,0,0,1,0,70.24444444444445,0
0,0,1,1,23,1,1,0,1,0,1,0,0,0,59.7,1414.2,0,0,0,1,0,0,1,58.925000000000004,0
1,0,0,0,19,1,0,0,0,0,0,0,0,0,84.80020229185735,1697.9075412522495,1,0,0,0,0,0,0,82.67134282119524,1
0,0,0,0,28,0,0,0,0,0,1,0,0,1,30.1,810.85,0,0,0,0,1,0,0,27.96034482758621,0
1,0,0,0,3,1,0,0,0,0,0,0,0,1,20.0,61.7,0,1,0,0,0,0,1,15.425,0
0,1,0,0,49,1,1,0,0,0,0,1,1,1,96.2,4718.25,1,0,0,0,0,1,0,94.365,1
1,0,0,0,1,1,0,0,0,0,0,1,0,1,55.0,55.0,0,0,0,0,1,0,0,27.5,1
1,1,0,0,2,1,1,0,0,0,0,1,1,1,93.85,170.85,1,0,0,0,0,1,0,56.949999999999996,1
1,0,1,0,72,1,1,0,1,0,0,1,1,1,97.7,6869.7,1,0,0,1,1,0,0,94.1054794520548,0
1,0,1,1,20,1,1,0,1,1,0,1,1,1,105.85,2239.65,1,0,0,0,0,0,0,106.65,1
0,0,0,0,54,1,0,1,0,1,0,1,0,0,89.8,4667.0,1,0,0,0,0,0,1,84.85454545454546,0
1,0,1,1,61,1,1,1,1,1,1,1,1,0,115.1,7008.15,1,0,0,1,1,0,0,113.03467741935484,0
0,1,0,0,1,1,1,0,0,0,0,0,0,1,74.52251897997756,74.52251897997756,1,0,0,0,0,1,0,37.26125948998878,1
1,0,0,0,53,1,1,0,1,0,0,1,1,1,109.73218532885699,5917.551821020534,1,0,0,0,1,0,0,109.48620344657343,1
1,0,0,0,48,1,1,0,0,1,1,1,1,1,103.85,4946.05,1,0,0,0,0,1,0,100.93979591836735,0
0,0,1,1,44,1,0,0,0,0,0,0,0,1,20.5,865.05,0,1,1,0,0,0,0,19.223333333333333,0
